Internal ID,Name,Bill.com Last Updated By Import,Bill.com Updated By Import,External ID,Inactive,Name (no hierarchy),Subsidiary
52,Sales & Marketing : Implementation and Provider Success,No,No,0de02AFANIVSYFJ18os2,No,Implementation and Provider Success,PayZen Inc.
3,Sales & Marketing : Marketing - Parent,No,No,,No,Marketing - Parent,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
38,Sales & Marketing : Marketing - Parent : Marketing,No,No,,No,Marketing,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
9,Sales & Marketing : Operations and Support,No,No,,No,Operations and Support,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
25,Sales & Marketing : Operations and Support : Patient Success,,No,,No,Patient Success,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
14,Sales & Marketing : Sales - Parent,No,No,,No,Sales - Parent,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
153,Sales & Marketing : Sales - Parent : Business Development,No,No,,No,Business Development,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
35,Sales & Marketing : Sales - Parent : Demand Generation,,No,,No,Demand Generation,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
154,Sales & Marketing : Sales - Parent : Sales,No,No,,No,Sales,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
36,Sales & Marketing : Sales - Parent : Sales Development,No,No,,No,Sales Development,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
37,Sales & Marketing : Sales - Parent : Sales Operations,No,No,,No,Sales Operations,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
5,Technology and Data Analytics,,No,,No,Technology and Data Analytics,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
12,Technology and Data Analytics : Credit and Data Science,,No,,No,Credit and Data Science,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
33,Technology and Data Analytics : Credit and Data Science : Data Analytics,,No,,No,Data Analytics,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
34,Technology and Data Analytics : Credit and Data Science : Data Engineering,,No,,No,Data Engineering,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
11,Technology and Data Analytics : Engineering,,No,,No,Engineering,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
30,Technology and Data Analytics : Engineering : Development Operations,,No,,No,Development Operations,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
32,Technology and Data Analytics : Engineering : Israeli Developers,,No,,No,Israeli Developers,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
31,Technology and Data Analytics : Engineering : QA,,No,,No,QA,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
29,Technology and Data Analytics : Engineering : Technology Operations/Infrastructure,,No,,No,Technology Operations/Infrastructure,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
10,Technology and Data Analytics : Product,,No,,No,Product,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
27,Technology and Data Analytics : Product : Product Design,,No,,No,Product Design,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
28,Technology and Data Analytics : Product : Product Management,,No,,No,Product Management,"PayZen Inc., PayZen Israel Ltd, PayZen LLC, PZ Factoring II LLC, PZ Factoring LLC, PZ Parent Factoring LLC, xElimination"
